rank,char,count
1,不,30127
2,人,23184
3,无,18553
4,山,17397
5,一,17306
6,风,16658
7,日,16129
8,云,14605
9,有,14448
10,来,13740
11,天,13544
12,何,13252
13,中,12802
14,时,12430
15,上,12234
16,花,12018
17,水,11997
18,月,11831
19,春,11552
20,生,10876
21,为,10733
22,相,10697
23,心,10490
24,自,10277
25,年,10211
26,如,9877
27,长,9872
28,君,9855
29,知,9670
30,白,9149
31,此,8979
32,归,8900
33,行,8749
34,见,8745
35,秋,8534
36,去,8395
37,得,8365
38,空,8261
39,在,8143
40,清,8131
41,下,8085
42,夜,7988
43,高,7859
44,江,7720
45,是,7699
46,里,7637
47,明,7623
48,未,7542
49,金,7323
50,门,7166
51,多,7156
52,三,7125
53,处,7109
54,青,6970
55,子,6945
56,道,6923
57,客,6792
58,千,6765
59,声,6727
60,寒,6707
61,家,6606
62,落,6580
63,玉,6545
64,事,6535
65,今,6504
66,前,6389
67,万,6375
68,出,6343
69,雨,6343
70,我,6316
71,远,6284
72,朝,6211
73,南,6156
74,入,6103
75,路,6093
76,飞,5933
77,尽,5896
78,东,5879
79,与,5838
80,深,5831
81,城,5829
82,流,5816
83,开,5781
84,草,5764
85,地,5699
86,烟,5696
87,新,5615
88,树,5611
89,思,5610
90,将,5587
91,色,5499
92,还,5454
93,欲,5450
94,已,5426
95,别,5399
96,成,5370
97,谁,5349
98,西,5305
99,可,5279
100,马,5260
