sample_id,rater_id,fluency,imagery,relevance,structure,reason
S028,rater_03,3,3,5,4,藏头完整但个别语句生硬
S056,rater_03,2,2,2,3,承接偏离且数字语句突兀
S030,rater_03,3,3,5,4,藏头四字完整语意稍跳
S049,rater_03,3,3,3,4,柳景有所承接但语意松散
S020,rater_03,4,4,5,5,藏头准确四联结构完整
S026,rater_03,3,4,5,5,藏头完整景物较为连贯
S047,rater_03,2,2,3,3,明露重复影响承接与表达
S045,rater_03,2,2,2,4,结构齐整但内容偏离月夜
S070,rater_03,3,3,3,4,句式完整但喜意转愁突兀
S057,rater_03,3,3,5,5,藏头准确且四联完整
S029,rater_03,3,4,4,5,边塞意象承接尚可结构稳
S041,rater_03,1,1,1,1,断句破碎且未形成完整续写
S069,rater_03,2,3,2,2,仅完成千古两字藏头
S079,rater_03,2,2,2,2,仅完成深度两字藏头
S052,rater_03,2,2,2,3,承接月光较弱且语意不通
S008,rater_03,4,4,5,5,藏头准确山水意象协调
S048,rater_03,2,3,2,4,篇幅完整但重复多且离题
S054,rater_03,4,4,5,5,藏头完整情景自然连贯
S013,rater_03,2,2,5,5,藏头准确但多处搭配生硬
S058,rater_03,3,4,4,5,春景承接自然结构完整
S059,rater_03,3,4,4,5,翠柳意象延续且篇章完整
S039,rater_03,4,4,4,5,残春意境统一结构严整
S080,rater_03,2,3,2,2,仅有千古两句藏头不全
S072,rater_03,3,3,4,5,残春主题延续结构完整
S024,rater_03,3,3,5,5,藏头四字准确篇章完整
S050,rater_03,3,4,4,5,边塞落日承接较自然
S004,rater_03,3,3,3,4,承接翠柳但后文转折稍硬
S068,rater_03,4,4,4,5,春景相承且层次完整
S036,rater_03,3,2,3,4,得意语境尚存但语意普通
S035,rater_03,1,1,2,2,标点错乱且续写难以理解
S006,rater_03,3,3,3,4,月夜意象尚可语句略生硬
S063,rater_03,2,2,2,4,句式齐整但语意偏离明显
S074,rater_03,2,3,3,3,边塞词汇尚在但首句赘余
S023,rater_03,3,3,3,4,春景有所呼应但语意跳跃
S009,rater_03,3,3,3,4,马蹄意象承接后转愁较突兀
S037,rater_03,3,3,3,2,缺少开字藏头且少一联
S055,rater_03,2,2,3,4,翠柳有呼应但重复病句明显
S002,rater_03,3,3,3,4,承接景物尚可数字表达突兀
S043,rater_03,3,3,5,5,藏头完整四联结构清楚
S042,rater_03,3,3,5,5,藏头准确结构完整语意稍散
S017,rater_03,2,2,2,2,只完成人工两字藏头
S076,rater_03,3,3,2,2,只完成千古两字藏头
S066,rater_03,3,3,3,4,翠柳春景有承接语意略跳
S007,rater_03,2,3,3,3,边塞相关但句间关联较弱
S062,rater_03,2,2,2,2,只完成人工两字藏头
S038,rater_03,2,2,5,4,藏头齐全但错标点与重复多
S065,rater_03,3,3,5,5,藏头完整且四联齐备
S011,rater_03,3,3,3,5,篇章完整但得意转愁较散
S010,rater_03,2,2,5,5,藏头准确但词语重复生硬
S022,rater_03,2,3,5,5,藏头完整但病句和重复较多
S014,rater_03,2,2,5,5,藏头齐全结构稳语意松散
S015,rater_03,4,4,5,5,藏头准确意象与结构协调
S003,rater_03,4,4,5,5,藏头完整山水意境连贯
S046,rater_03,3,3,5,5,藏头完整春景结构清楚
S064,rater_03,3,3,4,5,残春氛围延续结构完整
S027,rater_03,3,3,4,5,春景承接尚可个别重复
S044,rater_03,3,3,3,2,末句残缺导致篇章未完成
S040,rater_03,4,4,5,5,藏头准确景物层次自然
S071,rater_03,3,3,4,5,残春主题清晰结构完整
S001,rater_03,1,2,2,2,仅完成人工且标点残缺
S060,rater_03,2,2,2,3,月光承接较弱语意跳脱
S019,rater_03,3,3,3,4,马蹄起句后转离愁稍突兀
S032,rater_03,2,3,5,4,藏头齐全但错标点和叠词多
S018,rater_03,2,2,5,5,藏头完整但表达生硬费解
S075,rater_03,2,2,5,4,藏头齐全但首联标点破碎
S016,rater_03,4,4,4,5,大漠景象延续自然完整
S081,rater_03,2,2,2,3,月光承接弱且病句重复
S033,rater_03,3,3,5,5,藏头准确四联结构完整
S078,rater_03,3,3,5,5,藏头完整语意基本连贯
S061,rater_03,2,2,2,4,结构齐整但承接与语意较弱
S053,rater_03,3,3,4,5,残春离别主题较连贯
S021,rater_03,3,4,4,5,边塞风物丰富且结构完整
S051,rater_03,3,3,5,5,藏头准确但春字重复较多
S067,rater_03,3,3,5,5,藏头完整山居意象统一
S077,rater_03,2,2,2,4,结构完整但重复且偏离大漠
S034,rater_03,4,4,4,5,承接顺畅篇章与意境完整
S073,rater_03,3,4,5,5,藏头准确春景结构完整
S012,rater_03,2,2,3,5,边塞词汇尚在但语意生硬
S025,rater_03,3,3,3,5,月夜意象尚存结构完整
S031,rater_03,4,4,5,5,边塞主题连贯结构严整
S005,rater_03,2,2,3,5,结构完整但重复病句较多
